State,Poll,Source,Start Date,End Date,Sample Size,Sample Type,MoE,Biden,Trump
National,JTN/RMG Research*,https://justthenews.com/politics-policy/polling/biden-holds-steady-6-point-lead-over-trump-less-two-months-election,2020-09-17 00:00:00,2020-09-19 00:00:00,773,LV,2.8,50.0,44.0
National,IBD/TIPP,https://www.investors.com/politics/joe-biden-leads-president-trump-race-tightens-ibd-tipp-election-poll/,2020-09-16 00:00:00,2020-09-19 00:00:00,962,LV,3.3,50.0,44.0
National,NBC News/Wall St. Jrnl,https://www.documentcloud.org/documents/7213809-200625-NBCWSJ-September-Poll.html,2020-09-13 00:00:00,2020-09-16 00:00:00,1000,RV,3.1,51.0,43.0
National,Economist/YouGov,https://docs.cdn.yougov.com/t0hi1tcqs5/econTabReport.pdf,2020-09-13 00:00:00,2020-09-15 00:00:00,1062,LV,3.8,51.0,42.0
National,NPR/PBS/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/09/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_202009171415.pdf,2020-09-11 00:00:00,2020-09-16 00:00:00,723,LV,4.3,52.0,43.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep16,2020-09-09 00:00:00,2020-09-15 00:00:00,2500,LV,2.0,46.0,47.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_16_2020.pdf,2020-09-11 00:00:00,2020-09-15 00:00:00,859,LV,3.8,50.0,41.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/516546-what-americas-thinking-september-15-2020,2020-09-10 00:00:00,2020-09-14 00:00:00,3758,RV,1.6,45.0,39.0
National,JTN/RMG Research*,https://justthenews.com/politics-policy/polling/biden-maintains-5-point-lead-trump-among-likely-voters,2020-09-10 00:00:00,2020-09-12 00:00:00,941,LV,2.8,48.0,43.0
National,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/09/Fox_September-7-10-2020_Complete_National_Topline_September-13-Release.pdf,2020-09-07 00:00:00,2020-09-10 00:00:00,1191,LV,2.5,51.0,46.0
National,Economist/YouGov,https://docs.cdn.yougov.com/8nwf5tw7g2/econTabReport.pdf,2020-09-06 00:00:00,2020-09-08 00:00:00,1057,LV,3.8,52.0,43.0
National,USC Dornsife,https://election.usc.edu/,2020-09-07 00:00:00,2020-09-13 00:00:00,2648,LV,,52.0,42.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/515732-poll-trump-trails-biden-by-8-points-in-new-national-survey,2020-09-05 00:00:00,2020-09-08 00:00:00,2832,RV,1.8,47.0,39.0
National,CNBC/Change Research (D)*,https://changeresearch.com/post/states-of-play-battleground-wave-13/,2020-09-04 00:00:00,2020-09-06 00:00:00,1902,LV,2.3,49.0,43.0
National,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_091020/,2020-09-03 00:00:00,2020-09-08 00:00:00,758,LV,3.6,51.0,44.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_general_election_tracker_09_09_2020_.pdf,2020-09-03 00:00:00,2020-09-08 00:00:00,823,LV,3.9,52.0,40.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep09,2020-09-02 00:00:00,2020-09-08 00:00:00,2500,LV,2.0,48.0,46.0
National,CBS News/YouGov,https://drive.google.com/file/d/1hmvwY-EJIMWKveUWPTdpx_-JL6VTqCcx/view,2020-09-02 00:00:00,2020-09-04 00:00:00,2433,LV,,52.0,42.0
National,USC Dornsife,https://election.usc.edu/,2020-08-31 00:00:00,2020-09-06 00:00:00,2588,LV,,52.0,42.0
National,Harvard-Harris,https://thehill.com/homenews/campaign/515192-biden-leads-trump-on-law-and-order-coronavirus-poll,2020-08-31 00:00:00,2020-09-02 00:00:00,,LV,,53.0,47.0
National,Economist/YouGov,https://docs.cdn.yougov.com/7kvpozbozh/econTabReport.pdf,2020-08-30 00:00:00,2020-09-01 00:00:00,1207,RV,3.6,51.0,40.0
National,IBD/TIPP,https://www.investors.com/politics/joe-biden-holds-solid-lead-over-president-donald-trump-no-convention-bump-ibd-tipp-poll/,2020-08-29 00:00:00,2020-09-01 00:00:00,1033,RV,,49.0,41.0
National,CNN,https://cdn.cnn.com/cnn/2020/images/09/02/rel9a.-.2020.pdf,2020-08-28 00:00:00,2020-09-01 00:00:00,997,RV,4.0,51.0,43.0
National,Emerson,https://emersonpolling.reportablenews.com/pr/august-2020-presidential-race-tightens-after-party-conventions,2020-08-30 00:00:00,2020-08-31 00:00:00,1567,LV,2.4,49.0,47.0
National,Reuters/Ipsos,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-09/2020_reuters_tracking_-_core_political_presidential_approval_tracker_09_02_2020.pdf,2020-08-28 00:00:00,2020-09-01 00:00:00,1089,RV,3.4,47.0,40.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/514843-poll-trump-cuts-biden-lead-to-6-points-post-convention,2020-08-29 00:00:00,2020-08-31 00:00:00,2834,RV,1.8,46.0,40.0
National,USA Today/Suffolk,https://www.usatoday.com/story/news/politics/elections/2020/09/02/biden-leads-trump-narrower-7-points-post-conventions-suffolk-poll/3446536001/,2020-08-28 00:00:00,2020-08-31 00:00:00,1000,RV,3.1,50.0,43.0
National,Quinnipiac,https://poll.qu.edu/images/polling/us/us09022020_udmp37.pdf,2020-08-28 00:00:00,2020-08-31 00:00:00,1081,LV,3.0,52.0,42.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_sep02,2020-08-26 00:00:00,2020-09-01 00:00:00,2500,LV,2.0,49.0,45.0
National,Grinnell/Selzer,https://www.grinnell.edu/sites/default/files/docs/2020-09/Selzer%20Co%20GCNP%202219%20Methodology.pdf,2020-08-26 00:00:00,2020-08-30 00:00:00,827,LV,3.4,49.0,41.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/514399-what-americas-thinking-august-31-2020,2020-08-25 00:00:00,2020-08-28 00:00:00,2862,RV,1.8,47.0,38.0
National,Economist/YouGov,https://docs.cdn.yougov.com/sqqliantmw/econTabReport.pdf,2020-08-23 00:00:00,2020-08-25 00:00:00,1254,RV,3.8,50.0,41.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/513844-what-americas-thinking-august-26-2020,2020-08-22 00:00:00,2020-08-25 00:00:00,2861,RV,1.8,47.0,38.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_aug26,2020-08-19 00:00:00,2020-08-25 00:00:00,2500,LV,2.0,46.0,45.0
National,CNBC/Change Research (D)*,https://changeresearch.com/wp-content/uploads/2020/08/CNBC-CR_National-Toplines_Wave-12_August-21-23-Wave-12_-8_21-8_23.pdf,2020-08-21 00:00:00,2020-08-23 00:00:00,2362,LV,2.0,51.0,43.0
National,CBS News/YouGov,https://www.cbsnews.com/news/republicans-economy-coronavirus-opinion-poll-cbs-news-battleground-tracker/,2020-08-20 00:00:00,2020-08-22 00:00:00,934,LV,3.7,52.0,42.0
National,Economist/YouGov,https://docs.cdn.yougov.com/c6n58wb53l/econTabReport.pdf,2020-08-16 00:00:00,2020-08-18 00:00:00,1246,RV,3.4,50.0,40.0
National,The Hill/HarrisX,https://www.youtube.com/watch?v=tH2ItJNRPvI,2020-08-15 00:00:00,2020-08-18 00:00:00,2840,RV,1.8,46.0,38.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_aug19,2020-08-12 00:00:00,2020-08-18 00:00:00,2500,LV,2.0,48.0,44.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/512611-poll-biden-leads-trump-by-6-points-nationwide,2020-08-11 00:00:00,2020-08-14 00:00:00,2823,RV,1.8,45.0,39.0
National,CNN,https://cdn.cnn.com/cnn/2020/images/08/16/rel8a.-.2020.pdf,2020-08-12 00:00:00,2020-08-15 00:00:00,987,RV,4.0,50.0,46.0
National,ABC News/Wash Post,https://abcnews.go.com/PollingUnit/election-advantage-stays-biden-enthusiasm-deficit-eases-remains/story?id=72356854&mc_cid=42713dcf7a&mc_eid=%5bUNIQID%5d,2020-08-12 00:00:00,2020-08-15 00:00:00,707,LV,,54.0,44.0
National,CBS News/YouGov,https://drive.google.com/file/d/1PZk2TziNsU0tv0YI_77lY3RGnqM1eq9N/view,2020-08-12 00:00:00,2020-08-14 00:00:00,2152,LV,2.4,52.0,42.0
National,NBC News/Wall St. Jrnl,https://assets.documentcloud.org/documents/7037941/200438-NBCWSJ-August-Poll-8-16-20-Release.pdf,2020-08-09 00:00:00,2020-08-12 00:00:00,900,RV,3.3,50.0,41.0
National,FOX News,https://www.foxnews.com/politics/fox-news-poll-voters-pick-biden-yet-more-think-their-neighbors-back-trump,2020-08-09 00:00:00,2020-08-12 00:00:00,1000,RV,3.0,49.0,42.0
National,Economist/YouGov,https://docs.cdn.yougov.com/horeovzt7u/econTabReport.pdf,2020-08-09 00:00:00,2020-08-11 00:00:00,1208,RV,3.6,49.0,39.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/511751-poll-trump-trails-biden-by-4-points-in-new-national-survey,2020-08-08 00:00:00,2020-08-11 00:00:00,2828,RV,1.8,44.0,40.0
National,CNBC/Change Research (D)*,https://9b1b5e59-cb8d-4d7b-8493-111f8aa90329.usrfiles.com/ugd/9b1b5e_60ae756d4809453cb978652c93db3747.pdf,2020-08-07 00:00:00,2020-08-09 00:00:00,2143,LV,2.1,50.0,44.0
National,Monmouth*,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_081120/,2020-08-06 00:00:00,2020-08-10 00:00:00,785,RV,3.5,51.0,41.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_aug12,2020-08-05 00:00:00,2020-08-11 00:00:00,2500,LV,2.0,49.0,43.0
National,NPR/PBS/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/08/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-TABLES_202008121039.pdf,2020-08-03 00:00:00,2020-08-11 00:00:00,1108,RV,3.6,53.0,42.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/510762-what-americas-thinking-august-5-2020,2020-08-02 00:00:00,2020-08-05 00:00:00,2850,RV,1.8,43.0,40.0
National,GU Politics/Battleground,https://drive.google.com/file/d/1TJmSXSAZM1IHeym5ZowB6tz7hg-uJ_Xb/view,2020-08-01 00:00:00,2020-08-06 00:00:00,1000,LV,3.1,53.0,40.0
National,Economist/YouGov,https://docs.cdn.yougov.com/t0qsgk3wcg/econTabReport.pdf,2020-08-02 00:00:00,2020-08-04 00:00:00,1229,RV,3.3,49.0,40.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_aug05,2020-07-29 00:00:00,2020-08-04 00:00:00,2500,LV,2.0,48.0,45.0
National,Emerson,https://emersonpolling.reportablenews.com/pr/july-national-poll-biden-maintains-lead-in-presidential-race-majority-support-nationwide-mask-mandate-in-public-spaces,2020-07-29 00:00:00,2020-07-30 00:00:00,964,LV,3.1,50.0,46.0
National,Economist/YouGov,https://docs.cdn.yougov.com/0nx7ztz02j/econTabReport.pdf,2020-07-26 00:00:00,2020-07-28 00:00:00,1260,RV,3.4,49.0,40.0
National,IBD/TIPP,https://www.investors.com/news/president-trump-trails-joe-biden-2020-election-law-order/,2020-07-25 00:00:00,2020-07-28 00:00:00,1160,RV,3.1,48.0,41.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_jul29,2020-07-22 00:00:00,2020-07-28 00:00:00,2500,LV,2.0,48.0,42.0
National,CNBC/Change Research (D)*,https://9b1b5e59-cb8d-4d7b-8493-111f8aa90329.usrfiles.com/ugd/9b1b5e_94a0b32d467742a193ace4e532f353b9.pdf,2020-07-24 00:00:00,2020-07-26 00:00:00,1039,LV,3.0,51.0,42.0
National,CBS News/YouGov,https://drive.google.com/file/d/1p7C6oD2-2d0TNMlFQADlMQV9bBkNXQ35/view,2020-07-21 00:00:00,2020-07-24 00:00:00,1401,LV,,51.0,41.0
National,Harvard-Harris,https://thehill.com/homenews/coronavirus-report/509189-biden-has-10-point-lead-over-trump-its-the-virus-stupid,2020-07-21 00:00:00,2020-07-23 00:00:00,1932,RV,,55.0,45.0
National,Economist/YouGov,https://docs.cdn.yougov.com/8uw05wqpg2/econTabReport.pdf,2020-07-19 00:00:00,2020-07-21 00:00:00,1222,RV,3.2,48.0,41.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_jul22,2020-07-15 00:00:00,2020-07-21 00:00:00,2500,LV,2.0,47.0,45.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/508568-poll-trump-trails-biden-by-7-points-in-new-national-survey,2020-07-17 00:00:00,2020-07-20 00:00:00,2829,RV,1.8,45.0,38.0
National,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/07/Fox_July-12-15-2020_Complete_National_Topline_July-19-Release.pdf,2020-07-12 00:00:00,2020-07-15 00:00:00,1104,RV,3.0,49.0,41.0
National,ABC News/Wash Post,https://abcnews.go.com/Politics/pandemic-surge-damages-trump-boosting-bidens-white-house/story?id=71779431&mc_cid=1ef5cc5cf4&mc_eid=%5bUNIQID%5d,2020-07-12 00:00:00,2020-07-15 00:00:00,673,LV,,54.0,44.0
National,Economist/YouGov,https://docs.cdn.yougov.com/hpupr0zhkl/econTabReport.pdf,2020-07-12 00:00:00,2020-07-14 00:00:00,1252,RV,3.3,49.0,40.0
National,CNBC/Change Research (D)*,https://9b1b5e59-cb8d-4d7b-8493-111f8aa90329.usrfiles.com/ugd/9b1b5e_cabe0094cdf847dc8a2f12309173b8dd.pdf,2020-07-10 00:00:00,2020-07-12 00:00:00,1258,LV,2.8,51.0,41.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_jul15,2020-07-08 00:00:00,2020-07-14 00:00:00,1500,LV,2.0,47.0,44.0
National,Quinnipiac,https://poll.qu.edu/images/polling/us/us07152020_ulvz33.pdf,2020-07-09 00:00:00,2020-07-13 00:00:00,1273,RV,2.8,52.0,37.0
National,NBC News/Wall St. Jrnl,https://www.nbcnews.com/politics/meet-the-press/biden-opens-11-point-national-lead-over-trump-nbc-news-n1233913,2020-07-09 00:00:00,2020-07-12 00:00:00,900,RV,3.3,51.0,40.0
National,Economist/YouGov,https://docs.cdn.yougov.com/lraqqdhd7j/econTabReport.pdf,2020-07-05 00:00:00,2020-07-07 00:00:00,1165,RV,3.6,49.0,40.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/white_house_watch_jul08,2020-07-05 00:00:00,2020-07-07 00:00:00,1500,LV,2.5,50.0,40.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/506431-what-americas-thinking-july-8-2020,2020-07-03 00:00:00,2020-07-04 00:00:00,933,RV,3.2,43.0,39.0
National,Economist/YouGov,https://docs.cdn.yougov.com/k05rp8ded6/econTabReport.pdf,2020-06-28 00:00:00,2020-06-30 00:00:00,1198,RV,3.4,49.0,40.0
National,IBD/TIPP,https://www.investors.com/politics/joe-biden-lead-expands-over-president-donald-trump-coronavirus-protest-response/,2020-06-27 00:00:00,2020-06-30 00:00:00,1005,RV,3.1,48.0,40.0
National,Monmouth,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_070220/,2020-06-26 00:00:00,2020-06-30 00:00:00,733,RV,3.6,53.0,41.0
National,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-wave-8,2020-06-26 00:00:00,2020-06-28 00:00:00,1663,LV,1.6,49.0,41.0
National,USA Today/Suffolk,https://www.usatoday.com/story/news/politics/elections/2020/06/30/poll-biden-widens-lead-but-trump-has-enthusiasm-edge/3234610001/,2020-06-25 00:00:00,2020-06-29 00:00:00,1000,RV,3.1,53.0,41.0
National,NPR/PBS/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/06/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2006251102.pdf,2020-06-22 00:00:00,2020-06-24 00:00:00,1515,RV,3.5,52.0,44.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/504724-poll-bidens-2020-lead-narrows,2020-06-22 00:00:00,2020-06-23 00:00:00,951,RV,3.2,43.0,39.0
National,Economist/YouGov,https://docs.cdn.yougov.com/cjd35jrh5o/econTabReport.pdf,2020-06-21 00:00:00,2020-06-23 00:00:00,1230,RV,3.3,49.0,41.0
National,CNBC,https://www.cnbc.com/2020/06/25/biden-leads-trump-on-all-issues-except-for-the-economy-according-to-the-cnbc-all-america-survey.html,2020-06-19 00:00:00,2020-06-22 00:00:00,800,RV,3.5,47.0,38.0
National,NY Times/Siena,https://www.nytimes.com/2020/06/24/us/politics/trump-biden-poll-nyt-upshot-siena-college.html,2020-06-17 00:00:00,2020-06-22 00:00:00,1337,RV,3.0,50.0,36.0
National,Harvard-Harris,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/96f8852b-a896-41ba-82b0-1bd5e9aa064a/HHP_June20_pdf.pdf,2020-06-17 00:00:00,2020-06-18 00:00:00,,LV,,56.0,44.0
National,Economist/YouGov,https://docs.cdn.yougov.com/vgqowgynze/econTabReport.pdf,2020-06-14 00:00:00,2020-06-16 00:00:00,1160,RV,3.5,50.0,41.0
National,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-13-16-2020_National_Topline_June-18-Release.pdf,2020-06-13 00:00:00,2020-06-16 00:00:00,1343,RV,2.5,50.0,38.0
National,Quinnipiac,https://poll.qu.edu/national/release-detail?ReleaseID=3664,2020-06-11 00:00:00,2020-06-15 00:00:00,1332,RV,2.7,49.0,41.0
National,CNBC/Change Research (D),https://www.changeresearch.com/post/states-of-play-battleground-states-of-play-battleground-wave-7,2020-06-10 00:00:00,2020-06-12 00:00:00,1250,LV,2.8,51.0,41.0
National,Economist/YouGov,https://docs.cdn.yougov.com/ngcg634q9k/econTabReport.pdf,2020-06-07 00:00:00,2020-06-09 00:00:00,1241,RV,3.4,49.0,41.0
National,CNN,https://cdn.cnn.com/cnn/2020/images/06/08/rel6a.-.race.and.2020.pdf,2020-06-02 00:00:00,2020-06-05 00:00:00,1125,RV,3.6,55.0,41.0
National,NPR/PBS/Marist,http://maristpoll.marist.edu/wp-content/uploads/2020/06/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-Tables_2006041039.pdf,2020-06-02 00:00:00,2020-06-03 00:00:00,958,RV,4.0,50.0,43.0
National,Emerson,https://emersonpolling.reportablenews.com/pr/june-national-poll-voters-want-justice-for-george-floyd-as-trust-in-police-is-split,2020-06-02 00:00:00,2020-06-03 00:00:00,1431,RV,2.5,53.0,47.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/501704-what-americas-thinking-june-8-2020,2020-06-01 00:00:00,2020-06-04 00:00:00,2827,RV,1.8,47.0,37.0
National,IBD/TIPP,https://www.investors.com/politics/joe-biden-regains-2020-election-lead-president-trump-job-approval-dives/,2020-05-31 00:00:00,2020-06-03 00:00:00,964,RV,2.9,45.0,42.0
National,NBC News/Wall St. Jrnl,https://assets.documentcloud.org/documents/6938425/200266-NBCWSJ-June-Poll.pdf,2020-05-28 00:00:00,2020-06-02 00:00:00,1000,RV,3.1,49.0,42.0
National,Economist/YouGov,https://docs.cdn.yougov.com/c00sty9kik/econTabReport.pdf,2020-05-31 00:00:00,2020-06-02 00:00:00,1244,RV,3.2,47.0,40.0
National,CNBC,https://drive.google.com/file/d/1HW8TCEMyqf7tAxb9BNoFchDohc3Mqa8o/view,2020-05-29 00:00:00,2020-05-31 00:00:00,1457,LV,2.6,48.0,41.0
National,Monmouth,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_060320/,2020-05-28 00:00:00,2020-06-01 00:00:00,742,RV,3.6,52.0,41.0
National,CBS News/YouGov,https://www.cbsnews.com/news/americans-see-differences-in-how-police-treat-whites-and-blacks-cbs-news-poll/,2020-05-29 00:00:00,2020-06-01 00:00:00,1486,LV,2.6,47.0,43.0
National,ABC News/Wash Post,https://www.washingtonpost.com/politics/biden-leads-trump-in-post-abc-poll-as-presidents-coronavirus-rating-slips/2020/05/29/37c0dac8-a1d1-11ea-9590-1858a893bd59_story.html,2020-05-25 00:00:00,2020-05-28 00:00:00,835,RV,4.0,53.0,43.0
National,Economist/YouGov,https://docs.cdn.yougov.com/5fsvmrvvhh/econTabReport.pdf,2020-05-23 00:00:00,2020-05-26 00:00:00,1157,RV,3.4,45.0,42.0
National,FOX News,https://static.foxnews.com/foxnews.com/content/uploads/2020/05/Fox_May-17-20-2020_Complete_National_Topline_May-21-Release.pdf,2020-05-17 00:00:00,2020-05-20 00:00:00,1207,RV,3.0,48.0,40.0
National,Rasmussen Reports,https://www.rasmussenreports.com/public_content/politics/elections/election_2020/biden_tops_trump_in_vote_economic_confidence,2020-05-18 00:00:00,2020-05-19 00:00:00,1000,LV,3.0,48.0,43.0
National,Economist/YouGov,https://docs.cdn.yougov.com/q0t43bjops/econTabReport.pdf,2020-05-17 00:00:00,2020-05-19 00:00:00,1235,RV,3.2,47.0,42.0
National,CNBC,https://1de9b613-f5ea-469f-bbea-e129fedcca0d.usrfiles.com/ugd/1de9b6_2c7f52f9aeb1454691efcd8186cbda47.pdf,2020-05-15 00:00:00,2020-05-17 00:00:00,1424,LV,2.6,48.0,45.0
National,Quinnipiac,https://poll.qu.edu/images/polling/us/us05202020_ugjm33.pdf,2020-05-14 00:00:00,2020-05-18 00:00:00,1323,RV,2.7,50.0,39.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/498845-poll-older-voters-slip-from-trump-younger-voters-turn-away-from,2020-05-13 00:00:00,2020-05-14 00:00:00,950,RV,3.2,42.0,41.0
National,Harvard-Harris,https://harvardharrispoll.com/wp-content/uploads/2020/05/May20_HHP_RegisteredVoters_Topline.pdf,2020-05-13 00:00:00,2020-05-14 00:00:00,1854,RV,2.0,53.0,47.0
National,Economist/YouGov,https://docs.cdn.yougov.com/sww5v5iven/econTabReport.pdf,2020-05-10 00:00:00,2020-05-12 00:00:00,1175,RV,3.4,47.0,43.0
National,CNN,http://cdn.cnn.com/cnn/2020/images/05/13/rel5c.-.2020.pdf,2020-05-07 00:00:00,2020-05-10 00:00:00,1001,RV,3.7,51.0,46.0
National,Economist/YouGov,https://docs.cdn.yougov.com/5yope37lqh/econTabReport.pdf,2020-05-03 00:00:00,2020-05-05 00:00:00,1209,RV,3.3,46.0,42.0
National,CNBC,https://1de9b613-f5ea-469f-bbea-e129fedcca0d.usrfiles.com/ugd/1de9b6_5baffa4f2b704803b6d1885849de36b0.pdf,2020-05-01 00:00:00,2020-05-03 00:00:00,1489,LV,2.5,47.0,44.0
National,Monmouth,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_US_050620/,2020-04-30 00:00:00,2020-05-04 00:00:00,739,RV,3.6,50.0,41.0
National,CBS News/YouGov,https://www.cbsnews.com/news/2020-poll-joe-biden-vice-president-elizabeth-warren-democrats-wish-list/,2020-04-28 00:00:00,2020-05-01 00:00:00,1671,LV,2.5,49.0,43.0
National,IBD/TIPP,https://www.investors.com/news/president-trump-joe-biden-tied-amid-coronavirus-crisis-ibd-tipp-poll/,2020-04-26 00:00:00,2020-04-29 00:00:00,948,RV,3.3,43.0,43.0
National,Emerson,https://emersonpolling.reportablenews.com/pr/april-national-poll-trump-down-but-not-out-as-enthusiasm-and-expectation-favor-the-president,2020-04-26 00:00:00,2020-04-28 00:00:00,1200,RV,2.8,48.0,42.0
National,Economist/YouGov,https://docs.cdn.yougov.com/4qtpeqbqm8/econTabReport.pdf,2020-04-26 00:00:00,2020-04-28 00:00:00,1222,RV,3.2,47.0,41.0
National,USA Today/Suffolk,https://www.usatoday.com/story/news/politics/elections/2020/04/27/biden-leads-trump-2020-amid-coronavirus-concerns/3029325001/,2020-04-21 00:00:00,2020-04-25 00:00:00,1000,RV,3.0,50.0,40.0
National,Economist/YouGov,https://docs.cdn.yougov.com/pwwefjdnsp/econTabReport.pdf,2020-04-19 00:00:00,2020-04-21 00:00:00,1144,RV,3.4,48.0,42.0
National,The Hill/HarrisX,https://thehill.com/hilltv/what-americas-thinking/495503-what-americas-thinking-april-30-2020,2020-04-19 00:00:00,2020-04-20 00:00:00,958,RV,3.2,42.0,40.0
National,NBC News/Wall St. Jrnl,https://www.documentcloud.org/documents/6842659-200203-NBCWSJ-April-Poll-4-19-20-Release.html,2020-04-13 00:00:00,2020-04-15 00:00:00,900,RV,3.3,49.0,42.0
National,Harvard-Harris,https://mcusercontent.com/ca678077bc522bd7bd74bacbf/files/3407e677-0744-4341-96c6-1b94a6b571b0/HHP_Apr20_PRESENTATION_vF_April.pdf,2020-04-14 00:00:00,2020-04-16 00:00:00,,LV,,53.0,47.0
National,Economist/YouGov,https://docs.cdn.yougov.com/6fdl23u606/econTabReport.pdf,2020-04-12 00:00:00,2020-04-14 00:00:00,1166,RV,3.4,48.0,43.0
National,Monmouth,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_040920/,2020-04-03 00:00:00,2020-04-07 00:00:00,743,RV,3.6,48.0,44.0
National,FOX News,https://www.foxnews.com/politics/fox-news-poll-april-4-7-2020,2020-04-04 00:00:00,2020-04-07 00:00:00,1107,RV,3.0,42.0,42.0
National,Economist/YouGov,https://docs.cdn.yougov.com/ogvntw3mu9/econTabReport.pdf,2020-04-05 00:00:00,2020-04-07 00:00:00,1147,RV,3.3,48.0,42.0
National,CNBC,https://pos.org/wp-content/uploads/2020/04/FI12869a-CNBC-AAES-Q1-Topline.pdf,2020-04-03 00:00:00,2020-04-06 00:00:00,604,RV,4.0,44.0,39.0
National,CNN,https://cdn.cnn.com/cnn/2020/images/04/09/rel4c.-.2020.pdf,2020-04-03 00:00:00,2020-04-06 00:00:00,875,RV,3.9,53.0,42.0
National,Quinnipiac,https://poll.qu.edu/national/release-detail?ReleaseID=3658,2020-04-02 00:00:00,2020-04-06 00:00:00,2077,RV,2.2,49.0,41.0
National,IBD/TIPP,https://www.investors.com/politics/americans-back-president-trump-on-coronavirus-crisis/,2020-03-29 00:00:00,2020-04-01 00:00:00,980,RV,3.2,47.0,41.0
National,Economist/YouGov,https://docs.cdn.yougov.com/p8nwhxp50n/econTabReport.pdf,2020-03-29 00:00:00,2020-03-31 00:00:00,1194,RV,3.2,46.0,42.0
National,Grinnell/Selzer,https://www.grinnell.edu/sites/default/files/docs/2020-03/GCNP%20April%202020%20Toplines%20and%20Methodology.pdf,2020-03-27 00:00:00,2020-03-30 00:00:00,777,LV,3.5,47.0,43.0
National,Harvard-Harris,https://harvardharrispoll.com/wp-content/uploads/2020/03/HHP_March2020_RegisteredVoters_Topline.pdf,2020-03-24 00:00:00,2020-03-26 00:00:00,2410,RV,2.0,55.0,45.0
National,ABC News/Wash Post,https://www.washingtonpost.com/politics/poll-shows-trump-and-biden-in-a-competitive-race-for-the-white-house/2020/03/28/515cb8ba-7037-11ea-b148-e4ce3fbd85b5_story.html,2020-03-22 00:00:00,2020-03-25 00:00:00,845,RV,3.5,49.0,47.0
National,Economist/YouGov,https://docs.cdn.yougov.com/bfiid7tfh3/econTabReport.pdf,2020-03-22 00:00:00,2020-03-24 00:00:00,1170,RV,3.4,46.0,42.0
